Time [s],CH2 [V]
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.720000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.680000000000,
8.000000e-07,1.700000000000,
8.000000e-07,1.700000000000,
